qID,qText,qTypeID
65578703,Year ,1
12838632,Sex ,1
50839081,Class Missed ,1
22511257,Major ,1
22685989,Expected Grade ,1
64579040,Reason Taking Course ,1
44926353,How well organized was the class? ,2
82655021,How concerned was the instructor with what students learned from the course? ,2
99626361,Were the grading criteria for the course clear? ,2
33519657,Was the instructor enthusiastic about the material? ,2
40496350,How much did the course promote your progress on acquiring factual knowledge? ,2
60857893,How much did the course promote your progress on understanding basic principles and concepts? ,2
32787833,I would recommend this course to another student. ,3
91992531,I would recommend this instructor to another student. ,3
48268605,Comment on the strengths of the instructor ,4
70071024,Comment on the weaknesses of the instructor ,4
39757583,Comment on the strengths of the course ,4
11747467,Comment on the weaknesses of the course ,4
